job_title,soft_skills,technical_skills
.NET Developer,"['major', 'full', 'equivalent', 'specialized', 'professional', 'educational']","['database', 'data', 'analysis', 'programming', 'software']"
".NET Developer, Bureau of Environmental Disease and Injury Prevention","['accredited', 'professional', 'full', 'regional', 'national', 'task']",['analysis']
.Net Programmer/Analyst for the Division of HPD Tech,"['major', 'full', 'equivalent', 'specialized', 'professional', 'educational']","['database', 'data', 'analysis', 'programming', 'software']"
2023-BLA-001-Undergraduate Legal Intern,"['recent', 'interne', 'prospective', 'valid', 'enhancement', 'english']",[]
2023-BLA-002-Graduate Legal Intern,"['graduate', 'degree', 'english', 'engagement', 'enforcement', 'environmental']",[]
ACCOUNTABLE MANAGER,"['full', 'additional', 'valid', 'assignment', 'architectural', 'complex']",[]
ACCOUNTS PAYMENT ANALYST,"['enhancement', 'english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological']",[]
ADA - Senior Homicide Counsel,"['english', 'environmental', 'epidemic', 'epidemiologic', 'epidemiological', 'equal']",[]
ADMINISTRATIVE ACCOUNTANT,"['full', 'professional', 'administrative', 'managerial', 'public', 'valid']",[]
"ADMINISTRATIVE ACCOUNTANT, M-3","['full', 'professional', 'administrative', 'managerial', 'public', 'valid']",[]
ADMINISTRATIVE ASSISTANT,"['clerical', 'high', 'minimum', 'key', 'equivalent', 'educational']",[]
ADMINISTRATIVE COORDINATOR FOR THE ACCO'S OFFICE,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
ADMINISTRATIVE COORDINATOR â FIRST DEPUTY COMMISSIONER AND G,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
"ADMINISTRATIVE COORDINATOR, YOUNG MENâS INITIATIVE","['related', 'equivalent', 'high', 'degree', 'environmental', 'english']",[]
ADMINISTRATIVE STAFF ANALYST,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
AGENCY ATTORNEY,"['accredited', 'appeal', 'endorsement', 'engagement', 'english', 'environmental']",[]
AGENCY ATTORNEY 03,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
AGENCY ATTORNEY 1 â  EARLY INTERVENTION UNIT,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
AGENCY ATTORNEY INTERN,"['accredited', 'appeal', 'endorsement', 'engagement', 'english', 'environmental']",[]
AGENCY ATTORNEY INTERNE,"['accredited', 'appeal', 'endorsement', 'engagement', 'english', 'environmental']",[]
AGENCY ATTORNEY L3,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
AGENCY CHIEF CONTRACTING OFFICE ENGINEER,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
AGENCY CHIEF CONTRACTING OFFICER (ACCO),"['administrative', 'managerial', 'equivalent', 'clerical', 'full', 'independent']",[]
AGENCY COUNSEL,"['legal', 'subsequent', 'comparable', 'related', 'united', 'incumbent']",[]
ARCHIVIST,"['archival', 'library', 'political', 'professional', 'full', 'equivalent']",[]
AREA SUPERVISOR,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
ASBESTOS HAZARD INVESTIGATOR,"['valid', 'local', 'environmental', 'english', 'enhancement', 'enrolled']",[]
ASSET MANAGEMENT COLLEGE AIDE,"['acceptable', 'employed', 'appointment', 'maximum', 'full', 'special']",['data']
ASSISTANT CIVIL ENGINEER,"['civil', 'baccalaureate', 'full', 'equal', 'english', 'equivalent']",[]
"ASSISTANT COMMISSIONER, ENVIRONMENTAL DESIGN AND CONSTRUCTIO","['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
ASSISTANT COMMISSIONER/DEPUTY CHIEF ENGINEER,"['full', 'managerial', 'maximum', 'professional', 'acceptable', 'mechanical']",[]
ASSISTANT DEPUTY COMMISSIONER,"['equivalent', 'full', 'administrative', 'managerial', 'identify', 'high']",[]
"ASSISTANT DEPUTY COMMISSIONER, ACCOUNTABILITY INITIATIVES & CHANGE MONITORING","['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"ASSISTANT DEPUTY COMMISSIONER, ACCOUNTABILITY STRATEGIES","['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"ASSISTANT DEPUTY COMMISSIONER, ENTERPRISE SHARED SERVICES","['administrative', 'equivalent', 'managerial', 'full', 'educational', 'responsible']","['database', 'data', 'programming']"
"ASSISTANT DEPUTY COMMISSIONER, INFRASTRUCTURE RUN & BUILD","['eighteen', 'full', 'responsible', 'managerial', 'administrative', 'equivalent']","['database', 'data']"
"ASSISTANT DEPUTY COMMISSIONER, NETWORK,TELEPHONY& CLIENT SER","['eighteen', 'full', 'responsible', 'managerial', 'administrative', 'equivalent']","['database', 'data']"
ASSISTANT DEPUTY COMMISSIONER/ QUALITY MANAGEMENT AND APPLICATION SUPPORT,"['eighteen', 'full', 'responsible', 'managerial', 'administrative', 'equivalent']","['database', 'data']"
ASSISTANT DEPUTY COMMISSIONER/BUREAU OF REVENUE DEVELOPMENT AUTOMATION,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
ASSISTANT DEPUTY COMMISSIONER/REVENUE & REIMBURSEMENT OFFICE,"['professional', 'economic', 'public', 'fiscal', 'administrative', 'supervisory']",['analysis']
"ASSISTANT DIRECTOR, BOROUGH INITIATIVES AND RESIDENT PROGRAMS","['broad', 'administrative', 'equivalent', 'full', 'high', 'educational']",[]
"ASSISTANT GENERAL COUNSEL, FH REPRESENTATION & COUNSELING","['legal', 'administrative', 'subsequent', 'responsible', 'full', 'significant']",[]
ASSISTANT HOUSING MANAGER (HA),"['equivalent', 'full', 'high', 'educational', 'diploma', 'administrative']",[]
ASSISTANT MANAGER,"['administrative', 'clerical', 'accredited', 'full', 'responsible', 'equivalent']",[]
ASSISTANT MECHANICAL ENGINEER,"['mechanical', 'full', 'epidemiological', 'english', 'equal', 'engagement']",[]
ASSISTANT PROJECT MANAGER,"['baccalaureate', 'civil', 'electrical', 'full', 'mechanical', 'acceptable']",[]
ASSISTANT RESIDENT BUILDING SUPT,"['educational', 'semester', 'higher', 'high', 'large', 'technician']",[]
ASSISTANT RESIDENT BUILDING SUPT (HA),"['educational', 'semester', 'higher', 'high', 'large', 'technician']",[]
ASSISTANT RETIREMENT BENEFITS EXAMINER,"['actuarial', 'equivalent', 'statistic', 'high', 'educational', 'statistical']",[]
ASSISTANT TEAM LEADER,"['civil', 'baccalaureate', 'full', 'equal', 'english', 'equivalent']",[]
ASSOCIATE DEPUTY COMMISSIONER,"['maximum', 'acceptable', 'full', 'responsible', 'eighteen', 'professional']",[]
